Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level, Egg Target ,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area, Release/ Transfer Target , Coded Wire Tag Target , Fin Clip Target ,Clip Type, Thermal Mark Target , Parentage-based Tag Target , PIT Tag Target ,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F, Rebuilding ,Primary, -   ,Release,Fed Fry,Deadman R,Deadman River H,29F,9000,,,N/A,,"9,000",,,,,Preliminary
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F, Rebuilding ,Primary, -   ,Release,Smolt 1+,Deadman R,Deadman River H,29F,19000,"19,000",,AD,,"19,000",,,,,Preliminary
BC Interior,OPS,Gates Sp Ch,WEM - Tenderfoot Creek Hatchery,Sockeye,Summer,Gates Cr,SEL-06-01,ANDERSON/SETON-EARLY SUMMER TIMING,29F, Harvest ,Primary, -   ,Release,Chan Fry,Gates Cr,Gates Spawning Channel,29F, -   ,,,,,,,,,Operation of this channel suspended in 2020,Preliminary
BC Interior,PIP,Gold Trail Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F, Education ,Primary,400,Release,Fed Fry,Deadman R,Gold Trail Schools,29F,300,,,,,,,,,2025: To be released at Deadman R or Bonaparte R,Preliminary
BC Interior,PIP,Gold Trail Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Gates Cr,CO-48,INTERIOR FRASER,29F, Education ,Primary,"1,000",Release,Fed Fry,Seton R,Gold Trail Schools,29G,900,,,,,,,,,,Preliminary
BC Interior,PIP,Gold Trail Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Seton R,CO-48,INTERIOR FRASER,29G, Education ,Primary,"2,000",Release,Fed Fry,Seton R,Gold Trail Schools,29G,900,,,,,,,,,,Preliminary
BC Interior,PIP,Gold Trail Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Spius Cr,CO-7,LOWER THOMPSON,29F, Education ,Alternate,"2,000",Release,Fed Fry,Spius Cr,Gold Trail Schools,29F,1900,,,,,,,,,Alternate egg source if brood collection from Gates or Seton is unsuccessful.,Preliminary
BC Interior,OPS,Horsefly Sp Ch,WEM - Spius Creek Hatchery,Sockeye,Summer,Horsefly Ch,SEL-06-10,QUESNEL-SUMMER TIMING,29G, Harvest ,Primary, -   ,Release,Chan Fry,Horsefly Ch,Horsefly Spawning Channel,29G, -   ,,,,,,,,,The channel is not expected to operate in 2025,Preliminary
BC Interior,PIP,Kamloops Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F, Education ,Primary,100,Release,Fed Fry,Deadman R,Kamloops School,29F,90,,,,,,,,,,Preliminary
BC Interior,PIP,Kamloops Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J,,Primary, -   ,Transfer In,Egg,Thompson R N,Dunn Creek H,,4800,,,,,,,,,Adult coho are taken live as brood from Dunn Cr fence.,Preliminary
BC Interior,PIP,Kamloops Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J, Education ,Primary, -   ,Release,Fed Fry,Blue R,Kamloops School,29J,50,,,,,,,,,,Preliminary
BC Interior,PIP,Kamloops Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J, Education ,Primary, -   ,Release,Fed Fry,Dunn Cr,Kamloops School,29J,180,,,,,,,,,,Preliminary
BC Interior,PIP,Kamloops Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J, Education ,Alternate, -   ,Release,Fed Fry,Dunn Cr,Kamloops School,29J,4450,,,,,,,,,Alternate release site to Tranquille River.,Preliminary
BC Interior,PIP,Kamloops Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J, Education ,Primary, -   ,Release,Fed Fry,Tranquille R,Kamloops School,29J,4450,,,,,,,,,To be released at Tranquille R or McArthur Is.,Preliminary
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate, -   ,Transfer In,Egg,Shuswap R,"Shuswap River, Middle, H",,50000,,,,,,,,,50K eggs transferred to Kingfisher Interpretive Centre (KIC) if KIC is unable to reach its egg target.,Preliminary
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Primary,"50,000",Transfer Out,Egg,N Okanagan-Shuswap Sch,N Okanagan-Shuswap Sch,,1300,,,,,,,,,,Preliminary
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Stewardship ,Primary, -   ,Release,Fed Fry,Shuswap R Low,Kingfisher Creek/ TOMF H,29K,40000,,,N/A,,"40,000",,,,2025: Release target reduced from 50k to 40k,Preliminary
BC Interior,PIP,N Okanagan-Shuswap Sch,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Primary, -   ,Transfer In,Egg,Kingfisher Cr/TOMF,Kingfisher Creek/ TOMF H,,1300,,,,,,,,,,Preliminary
BC Interior,PIP,N Okanagan-Shuswap Sch,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Education ,Primary, -   ,Release,Fed Fry,Shuswap R Low,N Okanagan-Shuswap Sch,29K,1200,,,,,,,,,,Preliminary
BC Interior,PIP,N`Quatqua,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Spring,Bridge R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29F, Conservation ,Primary,"23,000",Release,Eyed Egg,Bridge R,N'Quatqua H,29F,800,,,,,,,,,Incubation Study,Preliminary
BC Interior,PIP,N`Quatqua,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Spring,Bridge R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29F, Conservation ,Primary, -   ,Release,Fed Fall,Bridge R,N'Quatqua H,29F,20000,"20,000",,AD,,"20,000","7,000",,,2025: Production to focus on Fall Fry,Preliminary
BC Interior,PIP,N`Quatqua,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Bridge R,CO-48,INTERIOR FRASER,29F, Rebuilding ,Primary,"45,000",Release,Eyed Egg,Bridge R,N'Quatqua H,29F,800,,,,,,,,,Incubation Study,Preliminary
BC Interior,PIP,N`Quatqua,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Bridge R,CO-48,INTERIOR FRASER,29F, Rebuilding ,Primary, -   ,Release,Smolt 1+,Bridge R,N'Quatqua H,29F,40000,,,N/A,,,"15,000",,,2025: Target increased,Preliminary
BC Interior,OPS,Nadina Sp Ch,Babine Project Manager,Sockeye,Summer,Nadina R,SEL-06-20,NADINA/FRANCOIS-EARLY SUMMER TIMING,29I, Harvest ,Primary,"26,800,000",Release,Chan Fry,Nadina R,Nadina Spawning Channel,29I,22500000,,,,,,,,,Target based on fully loaded channel.,Preliminary
BC Interior,PIP,Nak'azdli Portable,,Sockeye,Spring,Stuart R,SEL-06-14,TAKLA/TREMBLEUR-EARLY STUART TIMING,29I, Conservation ,Primary,"200,000",Release,Fed Fry,Stuart R,Nak'azdli Portable,29I,200000,,"200,000",AD,,"200,000",,,,"2025: Production planning for Early Stuart Sockeye at Nak'azdli is currently underway.  Egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Sockeye Planning Committee.",Preliminary
BC Interior,PIP,Nak'azdli Portable,,Sockeye,Summer,Tachie R,SEL-06-13,TAKLA/TREMBLEUR/STUART-SUMMER TIMING,29I,,Primary,"80,000",Transfer Out,Egg,Nechako Lks (Vanderh) Sch,Nechako Lks (Vanderh) Sch,,120,,,,,,,,,,Preliminary
BC Interior,PIP,Nak'azdli Portable,,Sockeye,Summer,Tachie R,SEL-06-13,TAKLA/TREMBLEUR/STUART-SUMMER TIMING,29I, Conservation ,Primary, -   ,Release,Fed Fry,Tachie R,Nak'azdli Portable,29I,75000,,,,,,,,,"2025: Production planning for Late Stuart Sockeye at Nak'azdli is currently underway.  Egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Sockeye Planning Committee.",Preliminary
BC Interior,PIP,Nechako Lks (Burns L) Sch,CA - Smithers & Northwestern BC,Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,,Primary, -   ,Transfer In,Egg,Spruce C Wldlf Ass,Salmon River/ UPFR H,,30,,,,,,,,,,Preliminary
BC Interior,PIP,Nechako Lks (Burns L) Sch,CA - Smithers & Northwestern BC,Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I, Education ,Primary, -   ,Release,Fed Fry,Nechako R,Burns Lake School,29I,25,,,,,,,,,,Preliminary
BC Interior,PIP,Nechako Lks (Burns L) Sch,CA - Smithers & Northwestern BC,Coho,Fall,Fulton R,CO-33,MIDDLE SKEENA,4, Education ,Primary,500,Release,Fed Fry,Babine Lk,Burns Lake School,4,450,,,,,,,,,,Preliminary
BC Interior,PIP,Nechako Lks (Vanderh) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,,Primary, -   ,Transfer In,Egg,Spruce C Wldlf Ass,Salmon River/ UPFR H,,250,,,,,,,,,,Preliminary
BC Interior,PIP,Nechako Lks (Vanderh) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I, Education ,Primary, -   ,Release,Fed Fry,Nechako R,Nechako Lks (Vanderh) Sch,29I,200,,,,,,,,,,Preliminary
BC Interior,PIP,Nicola-Similkameen Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Spius Cr,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer In,Egg,Spius Cr,Spius Creek H,,600,,,,,,,,,Stream to Sea Program SD #58 (Nicola-Similkameen)  Brood collected at Spius Hatchery outflow ditch.,Preliminary
BC Interior,PIP,Nicola-Similkameen Sch,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Spius Cr,CO-7,LOWER THOMPSON,29F, Education ,Primary, -   ,Release,Fed Fry,Spius Cr,Merritt Schools,29F,550,,,,,,,,,,Preliminary
BC Interior,PIP,Pr George (Mackenzie) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,,Alternate, -   ,Transfer In,Egg,Spruce C Wldlf Ass,Salmon River/ UPFR H,,500,,,,,,,,,,Preliminary
BC Interior,PIP,Pr George (Mackenzie) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I, Education ,Alternate, -   ,Release,Fed Fry,Nechako R,Pr George (Mackenzie) Sch,29I,450,,,,,,,,,,Preliminary
BC Interior,PIP,Pr George (Mackenzie) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J,,Primary, -   ,Transfer In,Egg,Thompson R N,Dunn Creek H,,200,,,,,,,,,,Preliminary
BC Interior,PIP,Pr George (Mackenzie) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J, Education ,Primary, -   ,Release,Fed Fry,Albreda R,Pr George (Mackenzie) Sch,29L,180,,,,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Cariboo R Up,CK-10,MIDDLE FRASER RIVER_SP_1.3,29G,,Primary,"67,000",Transfer Out,Egg,Chehalis R,Chehalis River H,, -   ,,,,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Cariboo R Up,CK-10,MIDDLE FRASER RIVER_SP_1.3,29G, Conservation ,Primary, -   ,Release,Fed Fry,Cariboo R Up,Quesnel River H,29G,32000,,,N/A,,"32,000",,,,"2025: Production planning for Upper Fraser Chinook at Quesnel River Research Center (QRRC) is currently underway.  Stocks enhanced, egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Chinook Planning Committee.",Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Chilako R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29I,,Primary,"13,500",Transfer Out,Egg,Chehalis R,Chehalis River H,, -   ,,,,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Chilako R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29I, Conservation ,Primary, -   ,Release,Fed Fry,Chilako R,Quesnel River H,29I,500,,,N/A,,500,,,,"2025: Production planning for Upper Fraser Chinook at Quesnel River Research Center (QRRC) is currently underway.  Stocks enhanced, egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Chinook Planning Committee.",Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Chilcotin R Up,CK-10,MIDDLE FRASER RIVER_SP_1.3,29G, Conservation ,Primary,"13,500",Release,Fed Fry,Chilcotin R (Up),Quesnel River H,29G,13000,,,N/A,,"13,000",,,,"2025: Production planning for Upper Fraser Chinook at Quesnel River Research Center (QRRC) is currently underway.  Stocks enhanced, egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Chinook Planning Committee.",Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Endako R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29I,,Primary,"13,500",Transfer Out,Egg,Chehalis R,Chehalis River H,, -   ,,,,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Endako R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29I, Conservation ,Primary, -   ,Release,Fed Fry,Endako R,Quesnel River H,29I,500,,,N/A,,500,,,,"2025: Production planning for Upper Fraser Chinook at Quesnel River Research Center (QRRC) is currently underway.  Stocks enhanced, egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Chinook Planning Committee.",Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Horsefly R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29G,,Primary,"45,000",Transfer Out,Egg,Chehalis R,Chehalis River H,, -   ,,,,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Horsefly R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29G, Conservation ,Primary, -   ,Release,Fed Fry,Horsefly R,Quesnel River H,29G,32000,,,N/A,,"32,000",,,,"2025: Production planning for Upper Fraser Chinook at Quesnel River Research Center (QRRC) is currently underway.  Stocks enhanced, egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Chinook Planning Committee.",Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Salmon R/UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,29I,,Primary,"45,000",Transfer Out,Egg,Chehalis R,Chehalis River H,, -   ,,,,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Salmon R/UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,29I, Conservation ,Primary, -   ,Release,Fed Fry,Salmon R/UPFR,Quesnel River H,29I,500,,,N/A,,500,,,,"2025: Production planning for Upper Fraser Chinook at Quesnel River Research Center (QRRC) is currently underway.  Stocks enhanced, egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Chinook Planning Committee.",Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Slim Cr,CK-12,UPPER FRASER RIVER_SP_1.3,29I, Rebuilding ,Primary,"40,000",Release,Fed Fry,Slim Cr,Quesnel River H,29I,20000,,,N/A,,"20,000",,,,"2025: Production planning for Upper Fraser Chinook at Quesnel River Research Center (QRRC) is currently underway.  Stocks enhanced, egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Chinook Planning Committee.",Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Slim Cr,CK-12,UPPER FRASER RIVER_SP_1.3,29I, Rebuilding ,Primary, -   ,Release,Fed Fall,Slim Cr,Quesnel River H,29I,16000,"16,000",,AD,,"16,000",,,,"2025: Production planning for Upper Fraser Chinook at Quesnel River Research Center (QRRC) is currently underway.  Stocks enhanced, egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Chinook Planning Committee.",Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Torpy R,CK-12,UPPER FRASER RIVER_SP_1.3,29I, Conservation ,Primary,"40,000",Release,Fed Fry,Torpy R,Quesnel River H,29I,35000,,,N/A,,"35,000",,,,"2025: Production planning for Upper Fraser Chinook at Quesnel River Research Center (QRRC) is currently underway.  Stocks enhanced, egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Chinook Planning Committee.",Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,West Road R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29H,,Primary,"45,000",Transfer Out,Egg,Chehalis R,Chehalis River H,, -   ,,,,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,West Road R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29H, Conservation ,Primary, -   ,Release,Fed Fry,West Road R,Quesnel River H,29H,32000,,,N/A,,"32,000",,,,"2025: Production planning for Upper Fraser Chinook at Quesnel River Research Center (QRRC) is currently underway.  Stocks enhanced, egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Chinook Planning Committee.",Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Willow R/UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,29I,,Primary,"134,000",Transfer Out,Egg,Chehalis R,Chehalis River H,, -   ,,,,,,,,,,Preliminary
BC Interior,PIP,Quesnel R Research Centre,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Spring,Willow R/UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,29I, Conservation ,Primary, -   ,Release,Fed Fry,Willow R/UPFR,Quesnel River H,29I,70000,,,N/A,,"70,000",,,,"2025: Production planning for Upper Fraser Chinook at Quesnel River Research Center (QRRC) is currently underway.  Stocks enhanced, egg targets, release targets, and mark plans are subject to change reflecting decisions by the integrated Big Bar Natal Chinook Planning Committee.  Pending review of Planning Committee objectives, Willow River Chinook enhancement may utilize a Smolt strategy at QRRC.",Preliminary
BC Interior,PIP,Quesnel Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,,Primary, -   ,Transfer In,Egg,Spruce C Wldlf Ass,Salmon River/ UPFR H,,250,,,,,,,,,,Preliminary
BC Interior,PIP,Quesnel Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I, Education ,Primary, -   ,Release,Fed Fry,Baker Cr,Quesnel Schools,29H,200,,,,,,,,,"CA will attempt to collect Quesnel R chinook at school field trip, but there is uncertainty on if broodstock will be available at that time so Nechako remains the primary line.",Preliminary
BC Interior,PIP,Quesnel Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G, Education ,Alternate,250,Release,Fed Fry,Quesnel R,Quesnel Schools,29G,200,,,,,,,,,Adding production line to allow for collaborative school field trip with CA. Uncertainty if brood will be available at the time of the trip. Broodstock will be collected by CA and transferred directly to schools.,Preliminary
BC Interior,PIP,Revelstoke Sch,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Education ,Primary, -   ,Release,Fed Fry,Shuswap R Low,Revelstoke Schools,29K, -   ,,,,,,,,,2025: Production stopped due to Whirling Disease,Preliminary
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate,"50,000",Transfer Out,Egg,Kingfisher Cr/TOMF,Kingfisher Creek/ TOMF H,,50000,,,,,,,,,50K eggs transferred to Kingfisher Interpretive Centre (KIC) if KIC is unable to reach its egg target.,Preliminary
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary, -   ,Release,Smolt 0+,Shuswap R Low,"Shuswap River, Middle, H",29K,550000,"550,000",,AD,,"550,000",,,,,Preliminary
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary,"630,000",Release,Eyed Egg,Shuswap R Middle,"Shuswap River, Middle, H",29K,5000,,,N/A,,"5,000",,,,,Preliminary
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary,"185,000",Release,Eyed Egg,Shuswap R Middle,"Shuswap River, Middle, H",29K,12000,,,,,,,,,Outplans to reseed areas above Wilsey Dam,Preliminary
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary, -   ,Release,Smolt 0+,Shuswap R Middle,"Shuswap River, Middle, H",29K,150000,"150,000",,AD,,"150,000",,,,,Preliminary
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Thompson R S,CK-13,SOUTH THOMPSON_SU_0.3,29K, Assessment ,Primary,"45,000",Release,Fed Fry,Thompson R S,"Shuswap River, Middle, H",29K,40000,,,N/A,,"40,000",,,,2025: Pilot enhancement for new Stock Assessment CWT assessment program.  First Nations engagement to take place prior to final plan approval.,Preliminary
